t,x,y,z
-9.36768522e-2,+9.86890568e0,+2.16797563e0,-9.77053397e0
-3.62250577e-2,+4.78849413e0,+8.76077110e0,-8.70660394e0
-7.37829367e-2,+7.71986906e0,+2.18696911e0,-7.93713457e0
-3.81845405e-2,+6.13769208e0,+7.85237693e0,-6.65888552e0
-2.68886584e-2,+7.73460184e0,+2.58446342e-1,-5.84159262e0
-5.39420343e-2,+9.24262657e0,+2.27040645e0,-5.59332295e0
-8.44610863e-2,+8.35499553e0,+2.04575157e0,-5.03129283e0
-8.87135000e-2,+9.64835700e0,+4.94000544e-1,-4.25702066e0
-2.50661571e-2,+9.68937748e0,+9.96317356e0,-1.39376431e0
-8.25561922e-3,+6.77203480e0,+1.50250235e-1,-6.92216295e-1
-8.25561922e-3,-6.77203480e0,+1.50250235e-1,+6.92216295e-1
-8.25561922e-3,+1.32279652e1,+1.50250235e-1,+6.92216295e-1
-8.25561922e-3,+6.77203480e0,-1.50250235e-1,+6.92216295e-1
-8.25561922e-3,+6.77203480e0,+1.98497498e1,+6.92216295e-1
-2.50661571e-2,-9.68937748e0,+9.96317356e0,+1.39376431e0
-2.50661571e-2,+1.03106225e1,+9.96317356e0,+1.39376431e0
-2.50661571e-2,+9.68937748e0,-9.96317356e0,+1.39376431e0
-2.50661571e-2,+9.68937748e0,+1.00368264e1,+1.39376431e0
-8.87135000e-2,-9.64835700e0,+4.94000544e-1,+4.25702066e0
-8.87135000e-2,+1.03516430e1,+4.94000544e-1,+4.25702066e0
-8.87135000e-2,+9.64835700e0,-4.94000544e-1,+4.25702066e0
-8.87135000e-2,+9.64835700e0,+1.95059995e1,+4.25702066e0
-8.44610863e-2,-8.35499553e0,+2.04575157e0,+5.03129283e0
-8.44610863e-2,+1.16450045e1,+2.04575157e0,+5.03129283e0
-8.44610863e-2,+8.35499553e0,-2.04575157e0,+5.03129283e0
-8.44610863e-2,+8.35499553e0,+1.79542484e1,+5.03129283e0
-5.39420343e-2,-9.24262657e0,+2.27040645e0,+5.59332295e0
-5.39420343e-2,+1.07573734e1,+2.27040645e0,+5.59332295e0
-5.39420343e-2,+9.24262657e0,-2.27040645e0,+5.59332295e0
-5.39420343e-2,+9.24262657e0,+1.77295936e1,+5.59332295e0
-2.68886584e-2,-7.73460184e0,+2.58446342e-1,+5.84159262e0
-2.68886584e-2,+1.22653982e1,+2.58446342e-1,+5.84159262e0
-2.68886584e-2,+7.73460184e0,-2.58446342e-1,+5.84159262e0
-2.68886584e-2,+7.73460184e0,+1.97415537e1,+5.84159262e0
-3.81845405e-2,-6.13769208e0,+7.85237693e0,+6.65888552e0
-3.81845405e-2,+1.38623079e1,+7.85237693e0,+6.65888552e0
-3.81845405e-2,+6.13769208e0,-7.85237693e0,+6.65888552e0
-3.81845405e-2,+6.13769208e0,+1.21476231e1,+6.65888552e0
-7.37829367e-2,-7.71986906e0,+2.18696911e0,+7.93713457e0
-7.37829367e-2,+1.22801309e1,+2.18696911e0,+7.93713457e0
-7.37829367e-2,+7.71986906e0,-2.18696911e0,+7.93713457e0
-7.37829367e-2,+7.71986906e0,+1.78130309e1,+7.93713457e0
-3.62250577e-2,-4.78849413e0,+8.76077110e0,+8.70660394e0
-3.62250577e-2,+1.52115059e1,+8.76077110e0,+8.70660394e0
-3.62250577e-2,+4.78849413e0,-8.76077110e0,+8.70660394e0
-3.62250577e-2,+4.78849413e0,+1.12392289e1,+8.70660394e0
-9.36768522e-2,-9.86890568e0,+2.16797563e0,+9.77053397e0
-9.36768522e-2,+1.01310943e1,+2.16797563e0,+9.77053397e0
-9.36768522e-2,+9.86890568e0,-2.16797563e0,+9.77053397e0
-9.36768522e-2,+9.86890568e0,+1.78320244e1,+9.77053397e0
-9.36768522e-2,+9.86890568e0,+2.16797563e0,+1.02294660e1
-3.62250577e-2,+4.78849413e0,+8.76077110e0,+1.12933961e1
-7.37829367e-2,+7.71986906e0,+2.18696911e0,+1.20628654e1
-3.81845405e-2,+6.13769208e0,+7.85237693e0,+1.33411145e1
-2.68886584e-2,+7.73460184e0,+2.58446342e-1,+1.41584074e1
-5.39420343e-2,+9.24262657e0,+2.27040645e0,+1.44066770e1
-8.44610863e-2,+8.35499553e0,+2.04575157e0,+1.49687072e1
-8.87135000e-2,+9.64835700e0,+4.94000544e-1,+1.57429793e1
-2.50661571e-2,+9.68937748e0,+9.96317356e0,+1.86062357e1
-8.25561922e-3,+6.77203480e0,+1.50250235e-1,+1.93077837e1
